"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM","2011","Available","114.5","50.5","16","106","Mini-SIM","TFT","2","240 x 320","4:3","IP57","NA","NA","NA","NA","microSD","NA","2.1","Yes","Stereo FM radio","NA","No","1000","NA","110","2 MP","Yes","No","Huawei","D51 Discovery"
"GSM / HSPA","2011, October","Available. Released 2011, October","112","57","12.7","109","Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.2","320 x 480","3:2","NA","Android 2.2 (Froyo)","Qualcomm MSM7227-1 Snapdragon S1","600 MHz ARM 11","Adreno 200","microSD","0.25","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1500","Yes","110","3.15 MP","480p","VGA","Huawei","U8520 Duplex"
"GSM","2011","Available","110","56.5","11.2","NA","Mini-SIM","TFT capacitive touchscreen, 16M colors","3.2","320 x 480","3:2","NA","Android-based OPhone 2.5","Marvell 88sv331","800 MHz","NA","microSD","0.5","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1200","Yes","110","3.15 MP","480p","VGA","Huawei","T8300"
"GSM / HSPA","2011","Available. Released 2011, October","115","62.8","9.9","105","Mini-SIM","TFT capacitive touchscreen, 256K colors","2.6","320 x 240","4:3","NA","Android 2.2 (Froyo)","Qualcomm MSM7225 Snapdragon S1","528 MHz ARM 11","NA","microSD","0.25","2.1","Yes","FM radio","NA","Wi-Fi","1200","Yes","90","3.2 MP","Yes","No","Huawei","U8350 Boulder"
"GSM / HSPA","2011, September","Available. Released 2011, September","120","65","11.6","130","Mini-SIM","TFT capacitive touchscreen, 16M colors","3.8","480 x 800","5:3","NA","Android 2.2 (Froyo)","Qualcomm MSM7230","800 MHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","No","NA","Wi-Fi","1500","Yes","80","5 MP, autofocus, LED flash","720p@30fps","No","Huawei","Impulse 4G"
"CDMA / CDMA2000","2011, September","Available","109.2","61","12.7","99","Mini-SIM","TFT, 256K colors","2","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","NA","Yes","No","NA","No","900","Yes","70","VGA","No","No","Huawei","Pillar"
"GSM / HSPA","2011, September","Available. Released 2011, December","122","61","11","140","Mini-SIM","TFT capacitive touchscreen, 16M colors","4","480 x 854","16:9","NA","Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)","Qualcomm MSM8255T Snapdragon S2","1.4 GHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","FM radio","NA","Wi-Fi","1930","Yes","130","8 MP, autofocus, LED flash, check quality","720p@30fps, check quality","VGA","Huawei","U8860 Honor"
"GSM / HSPA","2011, August","Available. Released 2011, Q3","118","59.9","9.9","121","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.7","480 x 800","5:3","NA","Android 2.3.4 (Gingerbread)","Qualcomm MSM8255-1 Snapdragon S2","1.0 GHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1400","Yes","80","5 MP, autofocus, LED flash","720p","VGA","Huawei","U8850 Vision"
"CDMA / EVDO","2011, July","Available. Released 2011, July","117","61","13","120","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.5","320 x 480","3:2","NA","Android 2.3 (Gingerbread)","NA","600 MHz","NA","microSD","0.25","2.1","Yes","NA","NA","Wi-Fi","1400","Yes","100","5 MP","Yes","No","Huawei","Ascend II"
"GSM / HSPA","2011, Q2","Available","120","62","11.6","130","Mini-SIM","TFT capacitive touchscreen, 16M colors","3.8","480 x 800","5:3","NA","Android 2.3 (Gingerbread)","Qualcomm MSM8255 Snapdragon S2","1.0 GHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1500","Yes","70","5 MP, autofocus, LED flash","720p@30fps","No","Huawei","U8800 Pro"
"GSM","2011, Q2","Available. Released 2011","106","56","11.3","89","Dual SIM (Mini-SIM, dual stand-by)","TFT resistive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","NA","NA","MT 6253 chipset","NA","microSD","NA","2.1","No","FM radio","NA","No","1050","Yes","70","1.3 MP","Yes","No","Huawei","G7206"
"GSM / HSPA","2011","Available","115","49.5","13.2","90","Dual SIM (Mini-SIM, dual stand-by)","TFT","2.4","240 x 320","4:3","NA","NA","NA","650 MHz","NA","microSD","0.5","2.1","No","Stereo FM radio","NA","Wi-Fi","1000","Yes","80","3.15 MP","Yes","VGA","Huawei","U5510"
"GSM","2011, Q2","Available. Released 2011","107","45","11.5","85","Mini-SIM","TFT, 256K colors","2","176 x 220","NA","NA","NA","NA","MT 6253 chipset","NA","microSD","0.0625","2.1","No","FM radio","NA","No","800","Yes","80","1.3 MP","Yes","No","Huawei","G5500"
"GSM","2011, July","Available","108","59","12","NA","Dual SIM (Mini-SIM)","TFT, 256K colors","2.4","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","FM radio","NA","No","800","Yes","70","1.3 MP","","No","Huawei","G6620"
"GSM / HSPA","2011, July","Available","116.3","60.5","11.9","120","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.5","320 x 480","3:2","NA","Android 2.3.3 (Gingerbread)","NA","NA","NA","microSD","0.25","2.1","Yes","NA","Yes","Wi-Fi","1400","Yes","70","3.15 MP","480p","No","Huawei","U8650 Sonic"
"GSM / HSPA","2011, May","Available","104","56","13","100","Mini-SIM","TFT capacitive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","Android 2.2 (Froyo)","Qualcomm MSM7225 Snapdragon S1","528 MHz ARM 11","NA","microSD","0.25","2.1","Yes","FM radio","NA","Wi-Fi","1200","Yes","70","3.15 MP","320p@24fps","No","Huawei","U8180 IDEOS X1"
"GSM","2011, Q2","Available. Released 2011, Q2","112","60","12","93","Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","2.1","No","FM radio","NA","Wi-Fi","1000","Yes","60","3.15 MP","Yes","No","Huawei","G6608"
"GSM","2010, November","Available. Released 2011","105","55","10.9","100","Mini-SIM","TFT resistive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","FM radio","NA","No","1100","Yes","70","1.3 MP","Yes","No","Huawei","G7010"
"GSM / HSPA","2011, Q1","Available. Released 2011, May","104.5","51.2","11.8","112","Mini-SIM","TFT, 256K colors","2.4","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","FM radio","NA","No","830","Yes","80","2 MP","Yes","VGA videocall camera","Huawei","U5900s"
"GSM / HSPA","2011, February","Available. Released 2011, April","200","109.5","12.5","440","Mini-SIM","TFT capacitive touchscreen, 256K colors","7","480 x 800","5:3","NA","Android 2.2 (Froyo)","Qualcomm Snapdragon","1.0 GHz Scorpion","NA","microSD","0.5","2.1","Yes","No","NA","Wi-Fi","3250","Yes","160","3.15 MP","w480p","VGA","Huawei","IDEOS S7 Slim"
"CDMA / EVDO","2011, February. Released 2011, Q3","Discontinued","200","109.5","12.5","440","Mini-SIM","TFT capacitive touchscreen, 256K colors","7","480 x 800","5:3","NA","Android 2.2 (Froyo)","NA","NA","NA","microSD","NA","2.1","Yes","No","NA","Wi-Fi","3250","Yes","210","3.15 MP","w480p","Yes","Huawei","IDEOS S7 Slim CDMA"
"GSM / HSPA","2010, December","Available. Released 2011, June","122","66","10","143","Mini-SIM","TFT capacitive touchscreen, 16M colors","4.1","480 x 800","5:3","NA","Android 2.2 (Froyo)","Qualcomm MSM8255 Snapdragon S2","1.0 GHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1400","Yes","90","5 MP, autofocus, LED flash","720p@30fps","VGA videocall camera","Huawei","U9000 IDEOS X6"
"GSM / HSPA","2010, December","Available. Released 2011, April","120","62","11.6","130","Mini-SIM","TFT capacitive touchscreen, 16M colors","3.8","480 x 800","5:3","NA","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)","Qualcomm MSM7230","800 MHz Scorpion","Adreno 205","microSD","0.5","2.1","Yes","No","NA","Wi-Fi","1500","Yes","100","5 MP, autofocus, LED flash","720p@30fps","No","Huawei","U8800 IDEOS X5"
"GSM / HSPA","2011, February. Released 2011, July","Discontinued","110","56.5","11.2","104","Mini-SIM","TFT capacitive touchscreen, 16M colors","3.2","320 x 480","3:2","NA","Android 2.3 (Gingerbread)","Qualcomm MSM7227 Snapdragon S1","600 MHz ARM 11","Adreno 200","microSD","0.25","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1200","Yes","100","3.15 MP, autofocus","480p","VGA","Huawei","U8510 IDEOS X3"
"GSM / HSPA","2010, September. Released 2010, September","Discontinued","104","54.8","13.5","102.1","Mini-SIM","TFT capacitive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","Android 2.2 (Froyo)","Qualcomm MSM7225 Snapdragon S1","528 MHz ARM 11","NA","microSD","0.25","2.1","Yes","Stereo FM radio","NA","Wi-Fi","1200","Yes","60","3.15 MP","CIF","No","Huawei","U8150 IDEOS"
"GSM / HSPA","2010, June. Released 2010, 3Q","Discontinued","112","58","12.8","115","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.2","320 x 480","3:2","NA","Android 2.1 (Eclair), upgradable to 2.2 (Froyo)","NA","528 MHz","NA","microSD","0.25","2.1","Yes","FM Radio","NA","Wi-Fi","1150","Yes","90","3.15 MP","CIF@15fps","No","Huawei","U8500 IDEOS X2"
"GSM / HSPA","2010. Released 2010","Discontinued","106","56","13.5","105","Mini-SIM","TFT resistive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","NA","Qualcomm QSC6270","NA","NA","microSD","0.5","2","No","Stereo FM radio","NA","No","1000","No","70","3.15 MP","Yes","No","Huawei","U7520"
"GSM","2010, September","Available. Released 2011, January","113","59","9.9","NA","Dual SIM (Mini-SIM)","TFT, 256K colors","2.41","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","2.1","No","FM radio","NA","No","1100","Yes","110","1.3 MP","Yes","No","Huawei","G6150"
"GSM","2010, June. Released 2010, June","Discontinued","98.4","51.3","13.6","95","Mini-SIM","TFT resistive touchscreen, 65K colors","NA","NA","NA","NA","NA","NA","NA","NA","microSD","NA","2","No","FM radio","NA","No","NA","No","50","1.3 MP","No","No","Huawei","G7002"
"GSM / HSPA","2010, February. Released 2010, July","Discontinued","94","64","11","104","Mini-SIM","TFT touchscreen, 256K colors","2.6","320 x 240","4:3","NA","Android 2.1 (Eclair)","NA","NA","NA","microSD","NA","2.1","Yes","FM radio","NA","Wi-Fi","930","Yes","70","3.15 MP, LED flash","Yes","No","Huawei","U8300"
"GSM / HSPA","2010, January. Released 2010, Q1","Discontinued","209","108","15.5","500","Mini-SIM","TFT resistive touchscreen, 256K colors","7","480 x 800","5:3","NA","Android 2.1 (Eclair), upgradable to 2.2 (Froyo)","Qualcomm QSD8250 Snapdragon S1","1.0 GHz Scorpion","Adreno 200","microSD","0.25","2.1","Yes","No","NA","Wi-Fi","2200","Yes","70","2 MP","Yes","No","Huawei","IDEOS S7"
"CDMA","2010. Released 2010","Discontinued","107","45.5","14.3","80","Mini-SIM","CSTN, 65K colors","1.47","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","1050","No","50","VGA","Yes","No","Huawei","C3200"
"GSM / UMTS","2010. Released 2010","Discontinued","106","46","13","90","Mini-SIM","TFT, 256K colors","2","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","Yes","FM Radio","NA","No","1000","No","NA","VGA","Yes","Yes","Huawei","U3100"
"GSM / HSPA","2010, February. Released 2010, July","Discontinued","106","57","14","110","Mini-SIM","TFT resistive touchscreen, 256K colors","2.8","240 x 320","4:3","NA","Android 2.1 (Eclair)","NA","NA","NA","microSD","NA","2.1","Yes","FM Radio","NA","Wi-Fi","1150","Yes","90","3.15 MP, LED flash","CIF@15fps","VGA","Huawei","U8110"
"GSM / HSPA","2010, February. Released 2010, July","Discontinued","107.5","57","13.8","104","Mini-SIM","TFT touchscreen, 256K colors","2.8","240 x 320","4:3","NA","Android 2.1 (Eclair)","NA","NA","NA","microSD","NA","2","Yes","FM radio","NA","Wi-Fi","1150","Yes","70","3.15 MP, LED flash","Yes","VGA","Huawei","U8100"
"GSM / HSPA","2009, June. Released 2009","Discontinued","117","63","14","NA","Mini-SIM","TFT touchscreen, 256K colors","3.5","320 x 480","3:2","NA","Android 2.1 (Eclair)","Qualcomm MSM7200A","528 MHz ARM 11","Adreno 130","microSD","0.25","2","Yes","No","NA","Wi-Fi","1500","No","270","3.15 MP, autofocus","","VGA","Huawei","U8230"
"GSM / HSPA","2009, August. Released 2009, October","Discontinued","116","63","14","135","Mini-SIM","TFT capacitive touchscreen,  256K colors (65K effective)","3.5","320 x 480","3:2","NA","Android 1.5 (Cupcake)","NA","NA","NA","microSD","NA","2","Yes","No","NA","Wi-Fi","1500","No","230","3.15 MP, autofocus","Yes","No","Huawei","U8220"
"GSM / HSPA","2009, September. Released 2009, November","Discontinued","108","56","13.8","NA","Mini-SIM","TFT touchscreen, 256K colors","2.8","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","Stereo FM radio","NA","No","NA","No","120","2 MP","Yes","Yes","Huawei","U7510"
"GSM / HSPA","2009, September. Released 2009, December","Discontinued","107.2","46.6","12.4","80.6","Mini-SIM","TFT, 256K colors","2","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","Stereo FM radio","NA","No","800","Yes","60","2 MP","QCIF","Yes","Huawei","U1270"
"GSM / UMTS","2009, February. Released 2009, July","Discontinued","106","46","11.5","90","Mini-SIM","TFT, 256K colors","2","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","2","No","No","NA","No","NA","Yes","NA","2 MP","Yes","Yes","Huawei","U1250"
"GSM / HSPA","2009, December. Released 2010, Q1","Discontinued","114.5","61","13.5","102","Mini-SIM","TFT, 256K colors","2.4","320 x 240","4:3","NA","NA","Qualcomm QSC6270","NA","NA","microSD","0.125","2","Yes","FM radio","NA","No","1250","No","NA","3.15 MP","Yes","No","Huawei","U9130 Compass"
"GSM","2009, December. Released 2010, Q1","Discontinued","112.5","60.5","11.5","102","Mini-SIM","TFT, 256K colors","2.4","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","2.1","No","Stereo FM radio","NA","No","1000","No","30","2 MP","172x144@15fps","No","Huawei","G6600 Passport"
"GSM / HSPA","2008, Q2","Discontinued","103","45","14.5","NA","Mini-SIM","TFT, 65K colors","2.4","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","1.2","No","FM radio","NA","No","NA","No","NA","3.2 MP, autofocus","Yes","VGA videocall camera","Huawei","U7310"
"GSM / HSPA","2009, February. Released 2009, August","Discontinued","NA","NA","NA","NA","Mini-SIM","TFT, 256K colors","2.4","320 x 240","4:3","NA","NA","NA","NA","NA","microSD","NA","1.2","No","FM radio","NA","No","1300","No","NA","2 MP","Yes","CIF","Huawei","U9150"
"GSM / UMTS","2007, Q2","Discontinued","103","45","14.5","90","Mini-SIM","TFT, 256K colors","1.8","176 x 220","NA","NA","NA","NA","NA","NA","microSD","NA","1.1","No","FM radio","NA","No","NA","Yes","NA","1.3 MP","Yes","VGA videocall camera","Huawei","U121"
"GSM / UMTS","2007, Q1","Discontinued","105","45.5","15.5","90","Mini-SIM","TFT, 256K colors","1.8","176 x 220","NA","NA","NA","NA","NA","NA","microSD","NA","1.1","No","FM radio","NA","No","NA","Yes","NA","1.3 MP","Yes","VGA videocall camera","Huawei","U120"
"GSM / UMTS","2008, Q2","Discontinued","98","46.4","16","NA","Mini-SIM","TFT, 65K colors","2","176 x 220","NA","NA","NA","NA","NA","NA","microSD","NA","1.2","No","FM transmitter (optional)","NA","No","NA","Yes","NA","2 MP","Yes","VGA videocall camera","Huawei","U3300"
"GSM / UMTS","2008, Q2","Discontinued","108","47.5","14.5","NA","Mini-SIM","TFT, 65K colors","2.2","240 x 320","4:3","NA","NA","NA","NA","NA","microSD","NA","1.2","No","No","NA","No","NA","Yes","NA","2 MP","Yes","VGA videocall camera","Huawei","U1310"
"GSM / UMTS","2008","Discontinued","NA","NA","NA","NA","Mini-SIM","TFT, 65K colors","1.8","176 x 220","NA","NA","NA","NA","NA","NA","No","NA","NA","No","No","NA","No","900","No","NA","NA","NA","NA","Huawei","U1100"
"GSM / UMTS","2008, Q3","Discontinued","NA","NA","NA","NA","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","No","NA","No","900","No","NA","NA","NA","NA","Huawei","U1000"
"GSM","2008","Discontinued","103.5","45","13.5","75","Mini-SIM","Monochrome graphics","1.4","68 x 96","NA","NA","NA","NA","NA","NA","No","NA","NA","No","No","NA","No","NA","No","NA","NA","NA","NA","Huawei","T156"
"GSM","2008","Discontinued","103","45","13.5","80","Mini-SIM","Monochrome graphics","1.4","68 x 96","NA","NA","NA","NA","NA","NA","No","NA","NA","No","No","NA","No","NA","No","NA","NA","NA","NA","Huawei","T158"
"GSM","2008","Discontinued","102","45","14","75","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","NA","No","NA","NA","NA","NA","Huawei","T208"
"GSM","2008, Q3","Discontinued","NA","NA","NA","NA","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","NA","No","NA","NA","NA","NA","Huawei","T261L"
"GSM","2008, Q3","Discontinued","NA","NA","NA","NA","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","NA","No","NA","NA","NA","NA","Huawei","T211"
"GSM","2008, Q3","Discontinued","NA","NA","NA","NA","Mini-SIM","Monochrome graphics","1.4","68 x 96","NA","NA","NA","NA","NA","NA","No","NA","NA","No","No","NA","No","NA","No","NA","NA","NA","NA","Huawei","T161L"
"GSM","2008, Q3","Discontinued","NA","NA","NA","NA","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","NA","No","NA","NA","NA","NA","Huawei","T330"
"GSM","2008","Discontinued","NA","NA","NA","NA","Mini-SIM","CSTN, 65K colors","1.5","128 x 128","1:1","NA","NA","NA","NA","NA","No","NA","NA","No","FM radio","NA","No","NA","No","NA","NA","NA","NA","Huawei","T201"
"GSM / HSPA","2009","Discontinued","107.5","54.5","15.5","110","Mini-SIM","TFT touchscreen, 256K colors","3","240 x 400","5:3","NA","NA","NA","NA","NA","microSD","NA","2","No","No","NA","No","NA","Yes","NA","3.15 MP","Yes","Yes","Huawei","T552"
"GSM / HSPA / LTE","Exp. announcement 2013, January","Cancelled","132","67","10","NA","Micro-SIM","Capacitive touchscreen, 16M colors","4.5","720 x 1280","16:9","NA","Microsoft Windows Phone 8","NA","Dual-core","NA","microSD","1","NA","Yes","FM radio","NA","Wi-Fi","NA","Yes","NA","8 MP, autofocus, LED flash","1080p@30fps","Yes","Huawei","Ascend W3"
"GSM / HSPA / LTE","Not announced yet","Cancelled","156.2","75.2","7.5","164","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.9","1080 x 1920","16:9","NA","Android 7.1 (Nougat)","HiSilicon Kirin 659","NA","NA","microSD","4","4.2","Yes","No","NA","Wi-Fi","3340","Yes","NA","Dual: 12 MP, autofocus, LED flash","1080p@30fps","Dual 8 MP + 5 MP, LED flash","Huawei","G10"
"GSM / HSPA","Exp. announcement 2014, June","Cancelled","NA","NA","NA","NA","Yes","IPS LCD capacitive touchscreen, 16M colors","5","1080 x 1920","16:9","NA","Android 4.4.2 (KitKat)","HiSilicon Kirin 920","Octa-core (4x Cortex-A15 & 4x Cortex-A7)","Mali-T624MP4","microSD","3","4","Yes","To be confirmed","NA","Wi-Fi","NA","Yes","NA","13 MP, autofocus, LED flash","2160p@30fps, 1080p@30fps","5 MP, 1080p","Huawei","Mulan"
"GSM / HSPA","2009, February. Released 2009","Discontinued","111","66","15.5","150","Mini-SIM","TFT resistive touchscreen, 65K colors","2.46","320 x 240","4:3","NA","Microsoft Windows Mobile 6.1 Professional","NA","624 MHz Marvell PXA310","NA","No","0.125","2","Yes","No","NA","Wi-Fi","1200","No","550","2 MP","Yes","Yes","i-mate","810-F"
"GSM / HSPA","2007, October. Released 2008, March","Discontinued","116","60","17.8","200","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","2.8","640 x 480","4:3","NA","Microsoft Windows Mobile 6.0 Professional","Qualcomm MSM7200","400 MHz ARM 11","Adreno 130","microSD","0.125","2","Yes","No","NA","Wi-Fi","1620","No","410","3.15 MP, autofocus, LED flash","Yes","VGA videocall camera","i-mate","Ultimate 9502"
"GSM / HSPA","2007, October. Released 2008, September","Discontinued","116","55","15","140","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","2.6","320 x 240","4:3","NA","Microsoft Windows Mobile 6.0 Professional","Qualcomm MSM7200","400 MHz ARM 11","Adreno 130","microSD","0.125","2","Yes","No","NA","Wi-Fi","1530","No","200","2 MP, LED flash","Yes","No","i-mate","Ultimate 8502"
"GSM","2007, October. Released 2008, October","Discontinued","113","63","14","152","Mini-SIM","TFT resistive touchscreen, 65K colors","2.4","320 x 240","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","SAMSUNG SC3 2442X 300MHz","NA","microSD","0.0625","1.1","No","No","NA","No","1050","No","250","2 MP, autofocus, LED flash","Yes","No","i-mate","JAMA 201"
"GSM","2007, October","Cancelled","105","52.5","15.5","110","Mini-SIM","TFT resistive touchscreen, 65K colors","2.4","320 x 240","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","SAMSUNG SC3 2442X 300MHz","NA","microSD","0.0625","1.2","No","No","NA","No","1020","No","250","2 MP","Yes","No","i-mate","JAMA 101"
"GSM","2007, June","Discontinued","106","52.5","15.6","110","Mini-SIM","TFT resistive touchscreen, 65K colors","2.4","320 x 240","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","NA","Samsung SC3 2442X 300MHz","NA","microSD","0.0625","1.2","No","No","NA","No","1000","No","200","2 MP","Yes","No","i-mate","JAMA"
"GSM / HSPA","2007, February","Cancelled","98","50","19","NA","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","2.6","640 x 480","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","Intel Bulverde 520 MHz","NA","microSD","0.125","2","No","Stereo FM radio","NA","Wi-Fi","1400","No","410","2 MP","Yes","Yes","i-mate","Ultimate 9150"
"GSM / HSPA","2007, February","Discontinued","118.5","60.5","15.5","152","Mini-SIM","TFT resistive touchscreen, 65K colors","2.6","480 x 640","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","Intel XScale PXA270 520 MHz","NA","microSD","0.125","2","No","Stereo FM radio","NA","Wi-Fi","1530","No","260","2 MP, autofocus","Yes","VGA videocall camera","i-mate","Ultimate 8150"
"GSM / HSPA","2007, February","Cancelled","110","74","18","180","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","3.8","640 x 480","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","Intel Bulverde 520 MHz","NA","microSD","0.125","2","No","Stereo FM radio","NA","Wi-Fi","1400","No","300","2 MP","Yes","VGA videocall camera","i-mate","Ultimate 7150"
"GSM / HSPA","2007, February. Released 2008, January","Discontinued","118.5","60.5","15.5","152","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","2.8","640 x 480","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","Intel Bulverde 520 MHz","NA","microSD","0.125","2","No","Stereo FM radio","NA","Wi-Fi","1530","No","260","2 MP","Yes","VGA videocall camera","i-mate","Ultimate 6150"
"GSM / HSPA","2007, February","Cancelled","117","60.5","19.5","NA","Mini-SIM","TFT resistive touchscreen, 256K colors (65K effective)","2.8","640 x 480","4:3","NA","Microsoft Windows Mobile 6.0 Professional","NA","Intel Bulverde 520 MHz","NA","microSD","0.125","2","No","Stereo FM radio","NA","Wi-Fi","1400","No","300","2 MP","Yes","Yes","i-mate","Ultimate 5150"
"GSM","2007, February","Cancelled","125","71","15.5","184","Mini-SIM","TFT resistive touchscreen, 65K colors","2.8","320 x 240","4:3","NA","Microsoft Windows Mobile 6.0 Professional","TI OMAP 850","200 MHz ARM926EJ-S","NA","NA","0.0625","1.2","Yes","No","NA","Wi-Fi","1660","No","150","2 MP, autofocus","Yes","No","i-mate","JAQ4"
"GSM","2006, November","Discontinued","112","56","17","116","Mini-SIM","TFT resistive touchscreen, 65K colors","2.4","320 x 240","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","TI OMAP 850","200 MHz ARM926EJ-S","NA","microSD","0.0625","1.2","No","No","NA","Wi-Fi","1100","No","220","2 MP","Yes","No","i-mate","PDAL"
"GSM","2006, November","Discontinued","126","67.5","14.5","160","Mini-SIM","TFT resistive touchscreen, 65K colors","2.5","320 x 240","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","TI OMAP 850","200 MHz ARM926EJ-S","NA","microSD","0.0625","1.2","No","No","NA","Wi-Fi","1200","No","240","2 MP","Yes","No","i-mate","JAQ3"
"GSM","2006, September","Discontinued","114.5","49","12","102","Mini-SIM","TFT, 65K colors","2.2","240 x 320","4:3","NA","Microsoft Windows Mobile 5.0 Smartphone","NA","200 MHz ARM926EJ-S","NA","NA","0.0625","1.2","No","No","NA","No","1100","No","130","2 MP","QCIF","No","i-mate","SPL"
"GSM","2006, September","Discontinued","122","71","22","160","Mini-SIM","TFT resistive touchscreen, 65K colors","2.8","320 x 240","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","TI OMAP 850","200 MHz ARM926EJ-S","NA","NA","0.0625","1.2","No","No","NA","No","1440","No","180","NA","NA","NA","i-mate","JAQ"
"GSM / HSPA","2006, June","Discontinued","112.5","58","22","176","Mini-SIM","TFT resistive touchscreen, 65K colors","2.8","240 x 320","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","NA","400 MHz Samsung","NA","microSD","0.0625","2","No","No","NA","Wi-Fi","1300","No","220","2 MP, LED flash","Yes","QCIF videocall camera","i-mate","JASJAM"
"GSM / UMTS","2006, August","Discontinued","112.4","49","14.8","115","Mini-SIM","TFT, 65K colors","2.2","240 x 320","4:3","NA","Microsoft Windows Mobile 5.0 Smartphone","NA","Samsung 2442 300 MHz","NA","microSD","0.0625","1.2","No","No","NA","No","1190","No","110","1.3 MP","Yes","CIF videocall camera","i-mate","SPJAS"
"GSM","2006, February","Discontinued","98.5","51.4","15.8","99","Mini-SIM","TFT, 65K colors","2.2","240 x 320","4:3","NA","Microsoft Windows Mobile 5.0 Smartphone","TI OMAP 850","200 MHz ARM926EJ-S","NA","microSD","0.0625","1.2","No","No","NA","No","750","No","110","1.3 MP","Yes","No","i-mate","Smartflip"
"GSM","2006, Q1","Discontinued","108","58","18.2","150","Mini-SIM","TFT resistive touchscreen, 65K colors","2.8","240 x 320","4:3","NA","Microsoft Windows Mobile 5.0 PocketPC","TI OMAP 850","200 MHz ARM926EJ-S","NA","NA","0.0625","2","No","No","NA","Wi-Fi","1200","No","220","2 MP","CIF","No","i-mate","JAMin"
