"tech","announced","status","dim_length","dim_breadth","dim_thickness","weight","sim","display_tech","display_size","display_res","aspect_ratio","ip_certification","os","chipset","cpu","gpu","card_slot","ram","bt_v","gps","radio","nfc","wlan","battery_mah","audio_jack","price","camera","video","selfie","oem","device"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, September","156.3","77.5","8.9","165","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP3","microSD","3","4","Yes","FM radio","NA","Wi-Fi","4000","Yes","NA","8 MP, autofocus, LED flash","1080p@30fps","8 MP","Acer","Liquid Z630S"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, September","156.3","77.5","8.9","165","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6735","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","1","4","Yes","FM radio","NA","Yes","4000","Yes","200","8 MP, autofocus, LED flash","Yes","8 MP","Acer","Liquid Z630"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, November","144","70.3","8.9","145","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6753","Octa-core 1.3 GHz Cortex-A53","Mali-T720MP3","microSD","3","4","Yes","FM radio","NA","Yes","2420","Yes","NA","8 MP, autofocus, LED flash","Yes","8 MP","Acer","Liquid Z530S"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, October","144","70.3","8.9","145","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5","720 x 1280","16:9","NA","Android 5.1 (Lollipop)","Mediatek MT6735","Quad-core 1.3 GHz Cortex-A53","Mali-T720MP2","microSD","1","4","Yes","FM radio","NA","Yes","2420","Yes","150","8 MP, autofocus, LED flash","Yes","8 MP","Acer","Liquid Z530"
"GSM / HSPA / LTE","2015, September","Available. Released 2015, November","136","66.5","9.6","142","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5","480 x 854","16:9","NA","Microsoft Windows 10","Qualcomm MSM8909 Snapdragon 210","Quad-core 1.0 GHz Cortex-A7","Adreno 304","microSD","1","4","Yes","FM radio","NA","Yes","2000","Yes","NA","5 MP, autofocus, LED flash","Yes","5 MP","Acer","Liquid M330"
"GSM / HSPA","2015, September","Available. Released 2015, November","136","66.5","9.6","142","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5","480 x 854","16:9","NA","Microsoft Windows 10","Qualcomm MSM8909 Snapdragon 210","Quad-core 1.1 GHz Cortex-A7","Adreno 304","microSD","1","4","Yes","FM radio","NA","Yes","2000","Yes","NA","5 MP, autofocus, LED flash","Yes","2 MP","Acer","Liquid M320"
"No cellular connectivity","2015, April","Available. Released 2015, June","260","176","9.7","540","No","LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1","1920 x 1200","16:10","NA","Android 5.0 (Lollipop)","Intel Atom Z3735F","Quad-core 1.33 GHz","NA","microSD","2","4","A-GPS only","No","Yes","Wi-Fi","5910","Yes","250","5 MP","1080p","2 MP","Acer","Iconia Tab 10 A3-A30"
"No cellular connectivity","2015, April","Available. Released 2015, May","213.9","127.7","9.5","355","No","IPS LCD capacitive touchscreen","8","800 x 1280","16:10","NA","Android 5.0 (Lollipop)","Intel Atom Z3735G","Quad-core 1.33 GHz","NA","microSD","1","4","Yes","No","NA","Wi-Fi","4550","Yes","180","5 MP","1080p","VGA","Acer","Iconia One 8 B1-820"
"No cellular connectivity","2014, October","Available. Released 2014, October","256.5","170.2","10.2","508","No","LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1","1280 x 800","16:10","NA","Android 4.4 (KitKat)","Mediatek MT8127","Quad-core 1.3 GHz Cortex-A7","Mali-450MP4","microSD","1","4","A-GPS only","No","NA","Wi-Fi","5910","Yes","190","5 MP, autofocus","720p","2 MP","Acer","Iconia Tab A3-A20"
"No cellular connectivity","2014, October","Available. Released 2014, October","256.5","170.2","10.2","508","No","LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1","1920 x 1200","16:10","NA","Android 4.4 (KitKat)","Mediatek MT8127","Quad-core 1.5 GHz Cortex-A7","Mali-450MP4","microSD","2","4","A-GPS only","No","NA","Wi-Fi","5910","Yes","230","5 MP, autofocus","720p","2 MP","Acer","Iconia Tab A3-A20FHD"
